"alpha3","country","date","cases","new_cases","deaths","population","casesPer100k","deathsPer100k","Income group","Continent","Region"
"JPN","Japan",2020-01-31,15,4,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-31,7,0,0,649000,1.1,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-31,9783,1659,213,1439324000,0.7,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-31,8,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-31,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-01-31,1,0,0,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-01-31,11,7,0,51269000,0,0,"High income","Asia","Eastern Asia"
"RUS","Russia",2020-01-31,2,2,0,145934000,0,0,"Upper middle income","Europe","Eastern Europe"
"SGP","Singapore",2020-01-31,13,3,0,5850000,0.2,0,"High income","Asia","South-eastern Asia"
"LKA","Sri Lanka",2020-01-31,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"SWE","Sweden",2020-01-31,1,1,0,10099000,0,0,"High income","Europe","Northern Europe"
"TWN","Taiwan",2020-01-31,10,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-31,19,5,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"GBR","UK",2020-01-31,2,2,0,67886000,0,0,"High income","Europe","Northern Europe"
"ARE","United Arab Emirates",2020-01-31,4,0,0,9890000,0,0,"High income","Asia","Western Asia"
"USA","USA",2020-01-31,7,2,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-31,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-02-01,12,3,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-02-01,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-02-01,4,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-02-01,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-02-01,6,1,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-02-01,8,3,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-02-01,13,1,0,7497000,0.2,0,"High income","Asia","Eastern Asia"
"IND","India",2020-02-01,1,0,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-02-01,2,0,0,60462000,0,0,"High income","Europe","Southern Europe"
"JPN","Japan",2020-02-01,20,5,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-02-01,7,0,0,649000,1.1,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-02-01,11871,2088,259,1439324000,0.8,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-02-01,8,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-02-01,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-02-01,1,0,0,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-02-01,12,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"RUS","Russia",2020-02-01,2,0,0,145934000,0,0,"Upper middle income","Europe","Eastern Europe"
"SGP","Singapore",2020-02-01,16,3,0,5850000,0.3,0,"High income","Asia","South-eastern Asia"
"ESP","Spain",2020-02-01,1,1,0,46755000,0,0,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-02-01,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"SWE","Sweden",2020-02-01,1,0,0,10099000,0,0,"High income","Europe","Northern Europe"
"TWN","Taiwan",2020-02-01,10,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-02-01,19,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"GBR","UK",2020-02-01,2,0,0,67886000,0,0,"High income","Europe","Northern Europe"
"ARE","United Arab Emirates",2020-02-01,4,0,0,9890000,0,0,"High income","Asia","Western Asia"
"USA","USA",2020-02-01,8,1,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-02-01,6,4,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-02-02,12,0,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-02-02,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-02-02,4,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-02-02,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-02-02,6,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-02-02,10,2,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-02-02,15,2,0,7497000,0.2,0,"High income","Asia","Eastern Asia"
"IND","India",2020-02-02,2,1,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-02-02,2,0,0,60462000,0,0,"High income","Europe","Southern Europe"
"JPN","Japan",2020-02-02,20,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-02-02,8,1,0,649000,1.2,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-02-02,16607,4736,361,1439324000,1.2,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-02-02,8,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-02-02,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-02-02,2,1,1,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-02-02,15,3,0,51269000,0,0,"High income","Asia","Eastern Asia"
"RUS","Russia",2020-02-02,2,0,0,145934000,0,0,"Upper middle income","Europe","Eastern Europe"
"SGP","Singapore",2020-02-02,18,2,0,5850000,0.3,0,"High income","Asia","South-eastern Asia"
"ESP","Spain",2020-02-02,1,0,0,46755000,0,0,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-02-02,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"SWE","Sweden",2020-02-02,1,0,0,10099000,0,0,"High income","Europe","Northern Europe"
"TWN","Taiwan",2020-02-02,10,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-02-02,19,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"GBR","UK",2020-02-02,2,0,0,67886000,0,0,"High income","Europe","Northern Europe"
"ARE","United Arab Emirates",2020-02-02,5,1,0,9890000,0.1,0,"High income","Asia","Western Asia"
"USA","USA",2020-02-02,8,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-02-02,6,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-02-03,12,0,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-02-03,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-02-03,4,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-02-03,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-02-03,6,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-02-03,12,2,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-02-03,15,0,0,7497000,0.2,0,"High income","Asia","Eastern Asia"
"IND","India",2020-02-03,3,1,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-02-03,2,0,0,60462000,0,0,"High income","Europe","Southern Europe"
"JPN","Japan",2020-02-03,20,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-02-03,8,0,0,649000,1.2,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-02-03,19693,3086,425,1439324000,1.4,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-02-03,8,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-02-03,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-02-03,2,0,1,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-02-03,15,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"RUS","Russia",2020-02-03,2,0,0,145934000,0,0,"Upper middle income","Europe","Eastern Europe"
"SGP","Singapore",2020-02-03,18,0,0,5850000,0.3,0,"High income","Asia","South-eastern Asia"
"ESP","Spain",2020-02-03,1,0,0,46755000,0,0,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-02-03,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"SWE","Sweden",2020-02-03,1,0,0,10099000,0,0,"High income","Europe","Northern Europe"
"TWN","Taiwan",2020-02-03,10,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-02-03,19,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"GBR","UK",2020-02-03,8,6,0,67886000,0,0,"High income","Europe","Northern Europe"
"ARE","United Arab Emirates",2020-02-03,5,0,0,9890000,0.1,0,"High income","Asia","Western Asia"
"USA","USA",2020-02-03,11,3,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-02-03,8,2,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-02-04,13,1,0,25500000,0.1,0,"High income","Oceania","Australia and New Zealand"
"BEL","Belgium",2020-02-04,1,1,0,11590000,0,0,"High income","Europe","Western Europe"
"KHM","Cambodia",2020-02-04,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-02-04,4,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-02-04,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-02-04,6,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-02-04,12,0,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-02-04,17,2,1,7497000,0.2,0,"High income","Asia","Eastern Asia"
"IND","India",2020-02-04,3,0,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-02-04,2,0,0,60462000,0,0,"High income","Europe","Southern Europe"
"JPN","Japan",2020-02-04,22,2,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-02-04,10,2,0,649000,1.5,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-02-04,23680,3987,490,1439324000,1.6,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-02-04,10,2,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-02-04,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-02-04,2,0,1,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-02-04,16,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"RUS","Russia",2020-02-04,2,0,0,145934000,0,0,"Upper middle income","Europe","Eastern Europe"
"SGP","Singapore",2020-02-04,24,6,0,5850000,0.4,0,"High income","Asia","South-eastern Asia"
"ESP","Spain",2020-02-04,1,0,0,46755000,0,0,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-02-04,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"SWE","Sweden",2020-02-04,1,0,0,10099000,0,0,"High income","Europe","Northern Europe"
"TWN","Taiwan",2020-02-04,11,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-02-04,25,6,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"GBR","UK",2020-02-04,8,0,0,67886000,0,0,"High income","Europe","Northern Europe"
"ARE","United Arab Emirates",2020-02-04,5,0,0,9890000,0.1,0,"High income","Asia","Western Asia"
"USA","USA",2020-02-04,11,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-02-04,8,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-02-05,13,0,0,25500000,0.1,0,"High income","Oceania","Australia and New Zealand"
"BEL","Belgium",2020-02-05,1,0,0,11590000,0,0,"High income","Europe","Western Europe"
"KHM","Cambodia",2020-02-05,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-02-05,5,1,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-02-05,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-02-05,6,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-02-05,12,0,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-02-05,21,4,1,7497000,0.3,0,"High income","Asia","Eastern Asia"
"IND","India",2020-02-05,3,0,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-02-05,2,0,0,60462000,0,0,"High income","Europe","Southern Europe"
"JPN","Japan",2020-02-05,23,1,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-02-05,10,0,0,649000,1.5,0,"High income","Asia","Eastern Asia"
